SessionTime, Double, Seconds since session start, s, 1
SessionTick, Int, Current update number, , 1
SessionNum, Int, Session number, , 1
SessionState, Int, Session state, irsdk_SessionState, 1
SessionUniqueID, Int, Session ID, , 1
SessionFlags, BitField, Session flags, irsdk_Flags, 1
SessionTimeRemain, Double, Seconds left till session ends, s, 1
SessionLapsRemain, Int, Old laps left till session ends use SessionLapsRemainEx, , 1
SessionLapsRemainEx, Int, New improved laps left till session ends, , 1
SessionTimeTotal, Double, Total number of seconds in session, s, 1
SessionLapsTotal, Int, Total number of laps in session, , 1
SessionJokerLapsRemain, Int, Joker laps remaining to be taken, , 1
SessionOnJokerLap, Bool, Player is currently completing a joker lap, , 1
SessionTimeOfDay, Float, Time of day in seconds, s, 1
RadioTransmitCarIdx, Int, The car index of the current person speaking on the radio, , 1
RadioTransmitRadioIdx, Int, The radio index of the current person speaking on the radio, , 1
RadioTransmitFrequencyIdx, Int, The frequency index of the current person speaking on the radio, , 1
DisplayUnits, Int, Default units for the user interface 0 = english 1 = metric, , 1
DriverMarker, Bool, Driver activated flag, , 1
PushToTalk, Bool, Push to talk button state, , 1
PushToPass, Bool, Push to pass button state, , 1
ManualBoost, Bool, Hybrid manual boost state, , 1
ManualNoBoost, Bool, Hybrid manual no boost state, , 1
IsOnTrack, Bool, 1=Car on track physics running with player in car, , 1
IsReplayPlaying, Bool, 0=replay not playing  1=replay playing, , 1
ReplayFrameNum, Int, Integer replay frame number (60 per second), , 1
ReplayFrameNumEnd, Int, Integer replay frame number from end of tape, , 1
IsDiskLoggingEnabled, Bool, 0=disk based telemetry turned off  1=turned on, , 1
IsDiskLoggingActive, Bool, 0=disk based telemetry file not being written  1=being written, , 1
FrameRate, Float, Average frames per second, fps, 1
CpuUsageFG, Float, Percent of available tim fg thread took with a 1 sec avg, %, 1
GpuUsage, Float, Percent of available tim gpu took with a 1 sec avg, %, 1
ChanAvgLatency, Float, Communications average latency, s, 1
ChanLatency, Float, Communications latency, s, 1
ChanQuality, Float, Communications quality, %, 1
ChanPartnerQuality, Float, Partner communications quality, %, 1
CpuUsageBG, Float, Percent of available tim bg thread took with a 1 sec avg, %, 1
ChanClockSkew, Float, Communications server clock skew, s, 1
MemPageFaultSec, Float, Memory page faults per second, , 1
MemSoftPageFaultSec, Float, Memory soft page faults per second, , 1
PlayerCarPosition, Int, Players position in race, , 1
PlayerCarClassPosition, Int, Players class position in race, , 1
PlayerCarClass, Int, Player car class id, , 1
PlayerTrackSurface, Int, Players car track surface type, irsdk_TrkLoc, 1
PlayerTrackSurfaceMaterial, Int, Players car track surface material type, irsdk_TrkSurf, 1
PlayerCarIdx, Int, Players carIdx, , 1
PlayerCarTeamIncidentCount, Int, Players team incident count for this session, , 1
PlayerCarMyIncidentCount, Int, Players own incident count for this session, , 1
PlayerCarDriverIncidentCount, Int, Teams current drivers incident count for this session, , 1
PlayerCarWeightPenalty, Float, Players weight penalty, kg, 1
PlayerCarPowerAdjust, Float, Players power adjust, %, 1
PlayerCarDryTireSetLimit, Int, Players dry tire set limit, , 1
PlayerCarTowTime, Float, Players car is being towed if time is greater than zero, s, 1
PlayerCarInPitStall, Bool, Players car is properly in their pitstall, , 1
PlayerCarPitSvStatus, Int, Players car pit service status bits, irsdk_PitSvStatus, 1
PlayerTireCompound, Int, Players car current tire compound, , 1
PlayerFastRepairsUsed, Int, Players car number of fast repairs used, , 1
CarIdxLap, Int, Laps started by car index, , 64
CarIdxLapCompleted, Int, Laps completed by car index, , 64
CarIdxLapDistPct, Float, Percentage distance around lap by car index, %, 64
CarIdxTrackSurface, Int, Track surface type by car index, irsdk_TrkLoc, 64
CarIdxTrackSurfaceMaterial, Int, Track surface material type by car index, irsdk_TrkSurf, 64
CarIdxOnPitRoad, Bool, On pit road between the cones by car index, , 64
CarIdxPosition, Int, Cars position in race by car index, , 64
CarIdxClassPosition, Int, Cars class position in race by car index, , 64
CarIdxClass, Int, Cars class id by car index, , 64
CarIdxF2Time, Float, Race time behind leader or fastest lap time otherwise, s, 64
CarIdxEstTime, Float, Estimated time to reach current location on track, s, 64
CarIdxLastLapTime, Float, Cars last lap time, s, 64
CarIdxBestLapTime, Float, Cars best lap time, s, 64
CarIdxBestLapNum, Int, Cars best lap number, , 64
CarIdxTireCompound, Int, Cars current tire compound, , 64
CarIdxQualTireCompound, Int, Cars Qual tire compound, , 64
CarIdxQualTireCompoundLocked, Bool, Cars Qual tire compound is locked-in, , 64
CarIdxFastRepairsUsed, Int, How many fast repairs each car has used, , 64
CarIdxSessionFlags, BitField, Session flags for each player, irsdk_Flags, 64
PaceMode, Int, Are we pacing or not, irsdk_PaceMode, 1
CarIdxPaceLine, Int, What line cars are pacing in  or -1 if not pacing, , 64
CarIdxPaceRow, Int, What row cars are pacing in  or -1 if not pacing, , 64
CarIdxPaceFlags, BitField, Pacing status flags for each car, irsdk_PaceFlags, 64
OnPitRoad, Bool, Is the player car on pit road between the cones, , 1
CarIdxSteer, Float, Steering wheel angle by car index, rad, 64
CarIdxRPM, Float, Engine rpm by car index, revs/min, 64
CarIdxGear, Int, -1=reverse  0=neutral  1..n=current gear by car index, , 64
SteeringWheelAngle, Float, Steering wheel angle, rad, 1
Throttle, Float, 0=off throttle to 1=full throttle, %, 1
Brake, Float, 0=brake released to 1=max pedal force, %, 1
Clutch, Float, 0=disengaged to 1=fully engaged, %, 1
Gear, Int, -1=reverse  0=neutral  1..n=current gear, , 1
RPM, Float, Engine rpm, revs/min, 1
PlayerCarSLFirstRPM, Float, Shift light first light rpm, revs/min, 1
PlayerCarSLShiftRPM, Float, Shift light shift rpm, revs/min, 1
PlayerCarSLLastRPM, Float, Shift light last light rpm, revs/min, 1
PlayerCarSLBlinkRPM, Float, Shift light blink rpm, revs/min, 1
Lap, Int, Laps started count, , 1
LapCompleted, Int, Laps completed count, , 1
LapDist, Float, Meters traveled from S/F this lap, m, 1
LapDistPct, Float, Percentage distance around lap, %, 1
RaceLaps, Int, Laps completed in race, , 1
CarDistAhead, Float, Distance to first car in front of player in meters, m, 1
CarDistBehind, Float, Distance to first car behind player in meters, m, 1
LapBestLap, Int, Players best lap number, , 1
LapBestLapTime, Float, Players best lap time, s, 1
LapLastLapTime, Float, Players last lap time, s, 1
LapCurrentLapTime, Float, Estimate of players current lap time as shown in F3 box, s, 1
LapLasNLapSeq, Int, Player num consecutive clean laps completed for N average, , 1
LapLastNLapTime, Float, Player last N average lap time, s, 1
LapBestNLapLap, Int, Player last lap in best N average lap time, , 1
LapBestNLapTime, Float, Player best N average lap time, s, 1
LapDeltaToBestLap, Float, Delta time for best lap, s, 1
LapDeltaToBestLap_DD, Float, Rate of change of delta time for best lap, s/s, 1
LapDeltaToBestLap_OK, Bool, Delta time for best lap is valid, , 1
LapDeltaToOptimalLap, Float, Delta time for optimal lap, s, 1
LapDeltaToOptimalLap_DD, Float, Rate of change of delta time for optimal lap, s/s, 1
LapDeltaToOptimalLap_OK, Bool, Delta time for optimal lap is valid, , 1
LapDeltaToSessionBestLap, Float, Delta time for session best lap, s, 1
LapDeltaToSessionBestLap_DD, Float, Rate of change of delta time for session best lap, s/s, 1
LapDeltaToSessionBestLap_OK, Bool, Delta time for session best lap is valid, , 1
LapDeltaToSessionOptimalLap, Float, Delta time for session optimal lap, s, 1
LapDeltaToSessionOptimalLap_DD, Float, Rate of change of delta time for session optimal lap, s/s, 1
LapDeltaToSessionOptimalLap_OK, Bool, Delta time for session optimal lap is valid, , 1
LapDeltaToSessionLastlLap, Float, Delta time for session last lap, s, 1
LapDeltaToSessionLastlLap_DD, Float, Rate of change of delta time for session last lap, s/s, 1
LapDeltaToSessionLastlLap_OK, Bool, Delta time for session last lap is valid, , 1
Speed, Float, GPS vehicle speed, m/s, 1
Yaw, Float, Yaw orientation, rad, 1
YawNorth, Float, Yaw orientation relative to north, rad, 1
Pitch, Float, Pitch orientation, rad, 1
Roll, Float, Roll orientation, rad, 1
EnterExitReset, Int, Indicate action the reset key will take 0 enter 1 exit 2 reset, , 1
TrackTemp, Float, Deprecated  set to TrackTempCrew, C, 1
TrackTempCrew, Float, Temperature of track measured by crew around track, C, 1
AirTemp, Float, Temperature of air at start/finish line, C, 1
TrackWetness, Int, How wet is the average track surface, irsdk_TrackWetness, 1
Skies, Int, Skies (0=clear/1=p cloudy/2=m cloudy/3=overcast), , 1
AirDensity, Float, Density of air at start/finish line, kg/m^3, 1
